"Prodi","Topik Soal","Kategori Materi","Materi Soal","Tipe Soal","Soal","Deskripsi Soal","A","B","C","D","E","Jawaban"
"Kedokteran","Ilmu Bedah","Ilmu Bedah","Lipoma","pmb","Laki-laki 18 tahun terdapat benjolan di bawah kulit perlahan membesar sejak 3 tahun terakhir. PF tanda vital dalam batas normal, status lokalis pada regio brachialis anterior benjolan dibawah kulit, soliter, bulat, lunak dan dapat digerakkan, nyeri (-). Tidakan yang tepat?","","Eksisi","Insisi","Eksisi luas","Ekstirpasi","Pungsi","A"
"Kedokteran","Ilmu Bedah","Ilmu Bedah","PRIAPISMUS","pmb","Anak laki-laki usia 15 tahun datang dengan keluhan penis tegang sejak 6 jam yang lalu. Awalnya tidak terasa nyeri, namun lama kelamaan terasa nyeri dan berwarna kehitaman. Pasien memiliki riwayat sickle cell disease. Diagnosis?","","Priapismus low flow","Priapismus high flow","Priapismus non iskemik","Dysfungsi ereksi","Malformasi arteri vena penis","A"
"Kedokteran","Ilmu Bedah","Ilmu Bedah","Lucid Interval","pmb","Seorang Laki-laki dibawa ke IGD RS setelah mengalami kecelakaan lalu lintas 2 jam yang lalu, pasien tidak sadarkan diri, riwayat sebelumnya sempat pingsang ditempat kejadian kemudian sadar kembali, namun dalam perjalanan ke RS kembali tidak sadar. PF TD:110/60mmHg, N:90x/m, RR:22x/m, S:36,8. pupil anisokor, dari CT scan tampak gambaran bikonveks. Diagnosis?","","SDH","ICH","EDH","IVH","DAI","C"
"Kedokteran","Ilmu Bedah","Ilmu Bedah","","pmb","Bayi 2 bualn dibawa oleh ibunya ke IGD dengan keluhan perut kembung. Bayi rewel dan terus menangis. Keluhan disertai muntah kehijauan. Ibu mengatakan bayi masih bisa kentut, BAB sedikit (+), lendir (-), darah (-). PF perut tampak distensi, dari foto polos tampak Gambaran double bubble. Diagnosis?","","Atresia duodrnum","Stenosis duedonum","Atresia pilorus","Atresia jejenum","Hipertropik Pylorus Stenosis","B"
"Kedokteran","Ilmu Bedah","Ilmu Bedah","","pmb","Bayi laki-laki baru lahir, dikeluhkan terdapat benjolan di punggungnya. PF tampak bejolan di daerah L4-L5 dengan kulit tidak intak, defisit neurologis (+), apa kemungkinan Diagnosis untuk kasus tersebut?","","Hemangioma","Lipoma","HNP","Spina bifidia","Spinal stenosis","D"
"Kedokteran","Ilmu Bedah","Ilmu Bedah","","pmb","Seorang perempuan berusia 50 tahun datang ke UGD dengan keluhan nyeri pinggang sebelah kiri sejak 2 jam yang lalu. Keluhan dirasakan mendadak dan menyebar ke perut serta selangkangan kiri disertai dengan mual.Riwayat kencing berdarah. Pasien merupakan seorang supir yang jarang minum air. Pada pemeriksaan fisik ditemukan kondisi umum sedang, tekanan darah 120/90 mmHg, denyut nadi 100 x/menit, frekuensi nafas 16 x/menit, suhu badan 360 C, dan nyeri ketok pada CVA sinistra. Pada pemeriksaan laboratorium darah lengkap ditemukan WBC 7,8 103/µL, HB 13 gr/dL, HCt 39, trombosit 190. Pada pemeriksaan urinalisis ditemukan proteinuria +1, leukosit 1-2 cell dan eritrosit 10-15 cell. Apakah diagnosis yang paling mungkin pada kasus tersebut?","","infeksi saluran kencing","Batu Saluran Kencing","Nyeri Pinggang Bawah","Tumor Saluran Kencing","Penyakit Radang Panggung","B"
"Kedokteran","Ilmu Bedah","Ilmu Bedah","","pmb","Wanita 30 tahun datang ke IGD dengan keluhan tangan kiri terkena minyak panas saat memasak, dari PF tampak lesi kemerahan dan nyeri, TTV dalam batas normal, apa kemungkinan diagnosis pasien tersebut?","","Combutio derajat 1","Combutio derajat 2a","Combutio derajat 2b","Combutio deraja 3","Combutio derajat 4","A"
"Kedokteran","Ilmu Bedah","Ilmu Bedah","Electrical injury","pmb","Pasien laki-laki umur 36 tahun dibawa ke IGD RS setelah tersengat listrik, pasien mengalami Luka bakar, pada PF TD:130/90mmHg, N: 90x/m irreguler, RR: 22x/m, S: 36,6. Tampak luka bakar di ujung jari telunjuk tangan kanan, melepuh (+), temuan fisik yg paling mengancam nyawa?","","Bula melepuh","Kejang","Patah tulang","Kaku otot","Aritmia kordis","E"
"Kedokteran","Ilmu Bedah","Ilmu Bedah","","pmb","Wanita 20 tahun, datang ke Rumah Sakit dengan keluhan tungkain kanan bengkok. Pasien riwayat patah tulang tibia dextra 10 bulan yang lalu. Pasien hanya kontrol 2 bulan pertama. PF TTV dalam batas normal, dari pemeriksaan rontgen tampak pada tibia dextra konsolidasi (+), angulasi (+). Apa diagnosis untuk kasus tersebut?","","Union tibia","Malunion tibia","Non union tibia","Delayed union tibia","Psudoarthrosis tibia","B"
"Kedokteran","Ilmu Bedah","Ilmu Bedah","","pmb","Wanita 20 tahun dibawa ke IGD setelah mengalami KLL 30 menit yang lalu. Pasien mengeluhkan nyeri pada bahu kanan. TTV dalam batas normal, status lokalis ditemukan nyeri tekan dan krepitasi pada bahu kanan. Dari foto xray ditemukan fraktur clavicula 1/3 medial dextra tanpa displacement. Tatalaksana yang tepat diberikan kepada pasien tersebut adalah?","","ORIF","OREF","Arm sling","Figure of eight","Gips","C"
"Kedokteran","Ilmu Bedah","Ilmu Bedah","","pmb","Laki-laki 26 tahun mengeluh nyeri di lutut kiri setelah bermain futsal, terasa nyeri terutama saat digunakan berjalan, pada pemeriksaan fisik TD: 110/70mmHg, N:88x/m, RR: 18x/m, S: 36,2 McMurray test (-), anterior drawer test (+), Lachman test (+). Diagnosis kasus tersebut?","","Ruptur Aterior Cruciate Ligament","Ruptur Posterior Cruciate Ligament","Ruptur Colateral Lateral Ligament","Lesi meniskus","Ruptur Colateral Medial Ligament","A"
"Kedokteran","Ilmu Bedah","Ilmu Bedah","","pmb","Laki laki 65 tahun datang ke IGD dengan keluhan sulit buang air kecil dan kencing bercampur darah yang dirasakan sejak 1 bulan yang lalu. Pasien memerlukan waktu yang lama dan harus mengedan saat akan buang air kecil. Riwayat kencing berpasir disangkal. PF tanda vital dalam batas normal. Pemeriksaan colok dubur didapatkan sulcus mediana dan pole anterior tidak teraba, terdapat masa, asimetris konsistensi keras, bernodul. PSA 4 ng/L. Diagnosis.......","","Ca buli","Ca prostat","BPH","Vesikolihtiasis","Prostatitis","B"
