"Prodi","Topik Soal","Kategori Materi","Materi Soal","Tipe Soal","Soal","Deskripsi Soal","A","B","C","D","E","Jawaban"
"Kedokteran","Cardiologi dan Pulmonologi","Cardiologi dan Pulmonologi","TB kasus relapse / kambuh","pmb","Laki-laki usia 68 tahun datang ke poliklinik dengan keluhan batuk produktif yang telah dialami selama 3 minggu. Pasien juga mengeluhkan sesak nafas. 6 tahun lalu pasien pernah didiagnosis dengan TB paru dan telah dinyatakan sembuh. Tanda vital dalam batas normal. Dijumpai stem fremitus meningkat dan perkusi pekak pada lapangan paru kanan atas. Pada pemeriksaan radiologis didapatkan infiltrate lapangan paru atas kanan. Pemeriksaan bakteriologis saat ini BTA +/+. Tatalaksana yang tepat pada pasien ini adalah:","","Fase sisipan pada OAT kategori I","Fase sisipan pada OAT kategori II","OAT kategori I","OAT kategori II","OAT kategori III","E"
"Kedokteran","Cardiologi dan Pulmonologi","Cardiologi dan Pulmonologi","susp. Pneumonia","pmb","Seorang laki-laki 28 tahun datang dengan keluhan sesak nafas sejak 3 hari yang lalu. Sebelumnya pasien mengeluhkan batuk berdahak kuning dan badan terasa demam. Pada pemeriksaan tanda vital ditemukan TD 120/80 mmHg, Nadi 90 x/m, RR 21x/m, Suhu 39°C. Suara nafas bronkial dan rhonki bilateral di basal paru. Pemeriksaan yang tepat untuk menentukan etiologi kasus tersebut adalah?","","CRP","Darah Lengkap","Hitung Leukosit","Hitung Jenis Leukosit","Kultur darah dan sputum","E"
"Kedokteran","Cardiologi dan Pulmonologi","Cardiologi dan Pulmonologi","","pmb","Seorang perempuan usia 35 tahun datang ke Puskemas dengan keluhan batuk berdarah sejak 1 minggu. Keluhan ini pernah dirasakan pasien 2 bulan yang lalu dan sempat membaik. Pasien pernah menjalani pengobatan TB selama 3 minggu lalu berhenti karena merasa sembuh. Hasil BTA saat ini +/+. Diagnosis pasien ini adalah?","","TB kasus baru","TB relapse","TB gagal pengobatan","TB drop out","TB MDR","A"
"Kedokteran","Cardiologi dan Pulmonologi","Cardiologi dan Pulmonologi","Pneumonia, Rawat Inap","pmb","Seorang perempuan usia 70 tahun datang dengan keluhan demam, batuk berdahak, dan sesak napas yang sudah dialami sejak 1 minggu. Pada pemeriksaan tanda vital TD 110/70 mmHg, Nadi 100 kali/menit, RR 36 kali/menit, suhu 39°C. Perkusi redup dan rhonki kasar di kedua lapang paru. Didapatkan infiltrat bilateral pada foto thoraks. Apakah tatalaksana yang tepat?","","Makrolide PO","Fluoroquinolone PO","Fluoroquinolone IV","Beta-Lactam PO","Beta-lactam IV","C"
"Kedokteran","Cardiologi dan Pulmonologi","Cardiologi dan Pulmonologi","","pmb","Seorang perempuan 54 tahun datang dengan keluhan sering merasa lemas, terutama apabila melakukan aktivitas. Pasien juga mengeluh sering pingsan, mata berkunang, dan mudah lelah. Tanda vital TD 70/50 mmHg, Nadi 40 x/m, RR 22 x/m. Dari pemeriksaan EKG didapatkan gambaran sebagai berikut:","","Dobutamin","Sulfas atropin","Epinephrine","Amiodarone","Digoxin","B"
"Kedokteran","Cardiologi dan Pulmonologi","Cardiologi dan Pulmonologi","","pmb","Seorang perempuan usia 54 tahun dibawa ke UGD dengan keluhan sesak nafas dan jantung berdebar sejak tadi malam. Pemeriksaan fisik didapatkan pasien tampak sesak dan gelisah. TD 90/70 mmHg, Nadi 175 x/m ireguler, RR 30 x/m. Dilakukan pemeriksaan EKG dengan hasil sebagai berikut. Diagnosis yang tepat pada pasien ini adalah?","","Supraventrikular Takikardi","Atrial Fibrilasi","Atrial Flutter","Ventrikel Takikardi","Ventrikel Ekstrasistol","B"
"Kedokteran","Cardiologi dan Pulmonologi","Cardiologi dan Pulmonologi","Heart Failure","pmb","Laki-laki 50 tahun datang ke IGD dengan keluhan mudah lelah dan sesak nafas sejak 1 minggu terakhir. Pasien mempunyai riwayat hipertensi dan diabetes. Kesadaran compos mentis, TD 150/80 mmHg, Nadi 90 x/m, RR 20 x/m Dari EKG didapatkan ST depresi dan T inversi sadapan lateral. Pemeriksaan penunjang yang tepat untuk mendiagnosa kasus tersebut adalah?","","CRP","CKMB","Troponin","Myoglobin","BNP","E"
"Kedokteran","Cardiologi dan Pulmonologi","Cardiologi dan Pulmonologi","","pmb","Seorang perempuan usia 30 tahun datang ke Puskemas dengan keluhan batuk sejak 1 bulan. Keluhan disertai nafsu makan menurun serta pasien merasa bertambah kurus. Pasien memiliki riwayat TB 2 tahun yang lalu, namun hanya berobat selama 2 bulan dan berhenti sendiri karena merasa sembuh. Hasil TCM positif M. tuberculosis. Diagnosis pasien ini adalah?","","TB kasus baru","TB relapse","TB gagal pengobatan","TB drop out","TB MDR","E"
"Kedokteran","Cardiologi dan Pulmonologi","Cardiologi dan Pulmonologi","Definisi Kasus TB","pmb","Seorang perempuan usia 22 tahun datang ke Puskemas dengan keluhan batuk sejak 6 bulan. Keluhan disertai demam hilang timbul serta pasien bertambah kurus. Pasien memiliki riwayat pengobatan TB 6 bulan lalu namun hanya minum selama 3 bulan. Hasil TCM positif M. tuberculosis. Dari hasil uji sensitivitas didapatkan kuman resisten terhadap Isoniazid dan Etambutol. Diagnosis pasien ini adalah?","","TB MDR","TB RR","TB Poliresisten","TB Monoresisten","TB XDR","C"
"Kedokteran","Cardiologi dan Pulmonologi","Cardiologi dan Pulmonologi","Pulseless VT","pmb","Seorang laki-laki usia 45 tahun datang ke IGD karena keluhan jantung berdebar sejak 1 hari yang lalu. Riwayat HT dan DM disangkal. Dari pemeriksaan fisik TD 140/90 mmHg, Nadi 125 x/m, RR 22 x/m. Tidak lama kemudian pasien batuk dan tidak sadarkan diri. Nadi tidak teraba. Dari gambaran EKG didapatkan gambaran sebagai berikut:
Tatalaksana yang tepat pada pasien ini adalah?","","RJPO dan Epinefrin IV","Amiodarone IV","Defibrilasi 100 Joule","Defibrilasi 360 Joule","Kardioversi 100 Joule","D"
"Kedokteran","Cardiologi dan Pulmonologi","Cardiologi dan Pulmonologi","SVT, HD tidak stabil","pmb","Seorang laki-laki 30 tahun datang ke IGD dengan keluhan dada berdebar-debar sejak 3 jam yang lalu. TD 70/50 mmHg, Nadi 170 x/m, RR 28 x/m, Suhu afebris. Dari pemeriksaan EKG didapatkan gambaran takikardi supraventrikular. Tatalaksana yang tepat pada pasien tersebut adalah?","","Adenosin","Kardioversi","Nitrat","Amiodarone","Manuver vagal","B"
