"Prodi","Topik Soal","Kategori Materi","Materi Soal","Tipe Soal","Soal","Deskripsi Soal","A","B","C","D","E","Jawaban"
"kedokteran","Ilmu Kesehatan Anak","Ilmu Kesehatan Anak","Strongyloides stercoralis","pmb","Seorang laki-laki usia 18 tahun datang ke puskesmas dengan keluhan nyeri perut yang tidak menjalar, mual, muntah, dan diare. Keluhan disertai dengan gatal pada bagian bokong, telapak kaki dan telapak tangan. Pada pemeriksaan fisik didapatkan tekanan darah 100/70 mmHg, nadi 90 kali per menit, laju napas 18 kali per menit. Terdapat lesi makulopapular linier memanjang pada gluteus, telapak kaki, dan telapak tangan. Pemeriksaan hapusan feses menunjukkan adanya larva dengan ujung berbentuk seperti huruf W. Apakah penyebab dari penyakit di atas?","","Strongyloides stercoralis","Ancylostoma duodenale","Necator americanus","Schistosomiasis","Oxyuris vermicularis","A"
"kedokteran","Ilmu Kesehatan Anak","Ilmu Kesehatan Anak","Ascariasis","pmb","Anak laki-laki usia 7 tahun dibawa ibunya ke Puskesmas karena keluhan nyeri perut disertai mual dan muntah sejak 1 minggu terakhir. Pasien juga mengalami diare 3–4 kali per hari, cair tanpa lendir dan darah. Ibu pasien menyampaikan bahwa 1 bulan yang lalu pernah keluar cacing saat pasien buang air besar. Pemeriksaan fisik menunjukkan tekanan darah 100/65 mmHg, nadi 90 kali per menit, laju napas 25 kali per menit, suhu 36,5°C, konjungtiva anemis, nyeri tekan abdomen bagian tengah. Pemeriksaan hapusan feses ditemukan telur oval berdinding tebal tiga lapis. Apakah penatalaksanaan yang tepat?","","Albendazole","Pirantel pamoat","Mebendazole","Praziquantel","Ivermectine","A"
"kedokteran","Ilmu Kesehatan Anak","Ilmu Kesehatan Anak","Filariasis","pmb","Seorang laki-laki usia 42 tahun datang ke Puskesmas dengan keluhan kedua kaki bengkak sejak 1 minggu terakhir dan semakin berat. Bengkak juga dirasakan di bagian kemaluan sejak 3 hari ini. Pemeriksaan fisik menunjukkan tekanan darah 125/80 mmHg, nadi 80 kali per menit, laju napas 20 kali per menit, suhu 36,5°C, edema skrotal positif, non-pitting edema pada kedua ekstremitas bawah positif. Dari pemeriksaan hapusan darah tepi ditemukan mikrofilaria dengan warna transparan, halus, terminal nuclei negatif, rasio panjang dan lebar kepala 1:1. Apakah parasit yang menjadi etiologi dari penyakit pasien?","","Brugia malayi","Brugia timori","Wuchereria bancrofti","Schistosoma mansoni","Taenia solium","C"
"kedokteran","Ilmu Kesehatan Anak","Ilmu Kesehatan Anak","Filariasis","pmb","Anak perempuan usia 12 tahun datang dengan keluhan kaki kanan bengkak sejak 2 minggu yang lalu. Bengkak dirasakan semakin lama semakin bertambah berat. Tetangga pasien juga memiliki riwayat keluhan yang sama. Pada pemeriksaan lokalis didapatkan limfadenopati inguinal, non-pitting edema dan kulit mengelupas. Apakah terapi yang tepat?","","Diethylcarbamazine citrate 6 mg/kgBB/hari selama 6 hari","Diethylcarbamazine citrate 6 mg/kgBB/hari selama 12 hari","Diethylcarbamazine citrate 6 mg/kgBB dosis tunggal","Ivermectin 200–400 mikrogram/kg selama 6 hari","Ivermectin 200–400 mikrogram/kg/hari selama 12 hari","B"
"kedokteran","Ilmu Kesehatan Anak","Ilmu Kesehatan Anak","Sindrom Nefrotik (2)","pmb","Seorang anak laki-laki umur 8 tahun datang ke poli diantar oleh ibunya dengan keluhan bengkak pada kelopak mata dan wajah kemudian kedua tungkai. Keluhan dialami sejak 1 minggu ini dan semakin berat. Pemeriksaan fisik didapatkan pasien sadar, tekanan darah 110/70 mmHg, nadi 90 kali per menit, laju napas 30 kali per menit, suhu 36,7°C, edema palpebra positif, shifting dullness positif, edema ekstremitas positif. Pemeriksaan laboratorium darah menunjukkan hemoglobin 11 g/dL, hematokrit 37%, leukosit 5600/mm³, trombosit 324.000/mm³, albumin 2 g/dL, BUN 25 mg/dL, kreatinin 0,6 mg/dL. Pemeriksaan urin menunjukkan proteinuria +4, eritrosit +1, leukosit negatif. Apakah diagnosis pasien?","","Sindroma nefritik","Sindroma nefrotik","Sindrom Alport","Glomerulonefritis akut","Rapidly Progressive Glomerulonephritis (RPGN)","B"
"kedokteran","Ilmu Kesehatan Anak","Ilmu Kesehatan Anak","GNAPS","pmb","Seorang anak usia 10 tahun datang dengan keluhan buang air kecil berwarna kemerahan sejak 3 hari yang lalu. Riwayat nyeri tenggorokan 2 minggu yang lalu yang sembuh sendiri. Pada pemeriksaan fisik didapatkan tekanan darah 140/90 mmHg, nadi 88 kali per menit, laju napas 26 kali per menit, suhu 36°C, edema minimal pada daerah pretibial. Pada pemeriksaan urin dipstick didapatkan berat jenis 1.035, darah +3, protein +2. Apakah etiologi kasus di atas?","","Retensi natrium akibat laju filtrasi glomerulus menurun","Hipoalbuminemia akibat proteinuria masif","Ekspansi cairan ekstravaskuler akibat proteinuria masif","Deposit kompleks antigen–antibodi","Tekanan onkotik menurun karena proteinuria","D"
"kedokteran","Ilmu Kesehatan Anak","Ilmu Kesehatan Anak","Sindrom Nefrotik","pmb","Anak laki-laki 5 tahun datang bersama ibunya ke dokter dengan keluhan bengkak pada kelopak mata dan kedua tungkai sejak 1 bulan. Pasien juga dikeluhkan kencing keruh berbuih. Pemeriksaan fisik TD 100/70 mmHg, napas 24x/mnt, nadi 108x/mnt, piting edema pada kedua ekstremitas bawah (+). Hasil lab kreatinin 1.4 mg/dL, ureum 46 mg/dL. Hasil UL didapatkan protein (+3), eritrosit (+1). Apakah terapi yang tepat?","","Prednisone 2 mg/kgBB/hari","Prednisolone 1 mg/kgBB/hari","Metilprednisolon 2 mg/kgBB/hari","Deksametason 2 mg/kgBB/hari","Betametason 1 mg/kgBB/hari","A"
"kedokteran","Ilmu Kesehatan Anak","Ilmu Kesehatan Anak","GNAPS","pmb","Anak laki-laki usia 7 tahun dibawa ibunya ke RS dengan keluhan kencing kemerahan sejak 2 hari yang lalu. Tidak ada keluhan nyeri saat kencing. Namun keluhan disertai nyeri kepala dan muntah. Pemeriksaan tanda vital TD 150/100 mmHg, Nadi 88x/m, RR 22x/m, Suhu 36,7C. Didapatkan edema kedua palpebral, pitting edema minimal pada kedua ekstremitas, lain-lain dalam batas normal. Dari pemeriksaan lab urinalisis ditemukan hematuria makroskopis dan protein +2. Apakah komplikasi yang dapat terjadi?","","Hipertensi ensefalopati","Ensefalitis","Meningitis aseptik","Pyelonefritis akut","Glomerulonefritis akut","A"
"kedokteran","Ilmu Kesehatan Anak","Ilmu Kesehatan Anak","GNAPS","pmb","Anak perempuan usia 10 tahun datang ke poliklinik bersama ibunya karena keluhan kencing berwarna merah. Keluhan dialami sejak 3 hari ini. Tidak ada keluhan serupa sebelumnya. Tidak ada keluhan demam. Riwayat pasien mengalami bisul-bisul di kulit 2 minggu yang lalu namun saat ini sudah sembuh. Pemeriksaan TD 130/90mmHg, Nadi 88x/m, RR 24x/m, suhu 36C. Pemeriksaan fisik tidak didapatkan kelainan. Pemeriksaan urinalisa eritrosit +4, protein +2, leukosit -. Apakah tatalaksana yang tepat?","","Diet tinggi protein dan diuretik","Diet tinggi kalori dan antibiotik","Diet rendah kalori dan antibiotik","Diet rendah garam dan diuretik","Diet rendah garam dan antibiotik","E"
"kedokteran","Ilmu Kesehatan Anak","Ilmu Kesehatan Anak","ISK Atas","pmb","Anak laki-laki usia 5 tahun diantar ibunya ke Puskesmas dengan keluhan kencing berbau sejak 2 hari yang lalu disertai rewel dan menangis saat kencing. Pasien juga dikeluhkan demam sejak 3 hari. Pada pemeriksaan fisik didapatkan nadi 90x/m, RR 26x/m, Tax 38,7OC dan nyeri ketok costovertebrae. Pada pemeriksaan lab: Hb 11,6 g/dl, Hct 37%, Leukosit 22.000/µL, Trombosit 356.000/µL. Pada pemeriksaan urin didapatkan kencing berwarna kuning keruh, protein (-), eritrosit (+1), leukosit (+3). Apakah pemeriksaan baku emas pada kasus diatas?","","Urinalisa","Darah rutin","Kultur urin","IVP","USG ginjal dan kandung kemih","C"
"kedokteran","Ilmu Kesehatan Anak","Ilmu Kesehatan Anak","Pyelonephritis","pmb","Anak perempuan usia 10 tahun datang dengan keluhan sering mengompol padahal pasien sudah tidak mengompol. Keluhan lain sering BAK, tidak lampias dan disertai nyeri. Riwayat demam sejak 2 hari ini. TTV: TD 110/80mmHg N 80x/m RR 28x/m Tax 38.7OC. Pemeriksaan fisik didapatkan nyeri tekan pada suprapubis, ballotement ginjal (-). Hasil urinalisis didapatkan protein (+), leukosit 10-15/lbp, eritrosit 3-5/lbp, nitrit (+). Hasil lab darah didapatkan Ureum 20, Creatininin 1. Terapi yang tepat?","","Rawat inap, cotrimozaxole oral 2x 480 mg","Rawat inap, cefotaxim intravena 2 x 500 mg","Rawat jalan, prednison oral 60 mg/hari","Rawat jalan, cefixime oral 100 mg/hari","Rawat inap, cefixime oral 100 mg/hari","B"
"kedokteran","Ilmu Kesehatan Anak","Ilmu Kesehatan Anak","ENEURESIS = NGOMPOL TIDAK WAJAR","pmb","Anak laki-laki usia 8 tahun diantar ibunya ke Puskesmas karena dikeluhkan masih sering mengompol baik pada saat tidur malam maupun saat siang hari. Riwayat anak sering dimarahi oleh Ayahnya sejak kecil. Pada saat dilakukan pemeriksaan, anak tampak pendiam, hipotimik. Pemeriksaan tanda vital dan pemeriksaan fisik lain tidak ditemukan kelainan. Apakah kemungkinan diagnosis pasien?","","Enuresis","Enkopresis","Epispadia","Cystitis","Neurogenic bladder","A"
"kedokteran","Ilmu Kesehatan Anak","Ilmu Kesehatan Anak","Wilm's Tumor (Nephroblastoma)","pmb","Anak laki-laki usia 3 tahun dibawa ibunya ke poliklinik umum dengan keluhan nyeri perut dan ada benjolan di punggung kanan sejak 1 bulan ini. Pasien juga dikeluhkan kencing berwarna merah seperti cucian dagung. Tidak ada riwayat demam ataupun keluhan lain. Nadi 100x/m, RR 26x/m, suhu 36.5OC. Pemeriksaan fisik terdapat massa pada punggung kanan. Pemeriksaan urinalisis didapatkan peningkatan eritrosit tanpa ada peningkatan protein. Diagnosis?","","Willm’s tumor","Renal cell carcinoma","Leukemia","Limfoma Hodgekin","Limfoma Non Hodgkin","A"
"kedokteran","Ilmu Kesehatan Anak","Ilmu Kesehatan Anak","Diare Cair","pmb","Seorang anak laki-laki berumur 9 tahun diantar oleh ibunya ke klinik dalam keadaan lemas karena BAB terus-menerus selama 2 hari. BAB seperti air cucian beras dan lebih dari 10 kali dalam sehari. Pasien juga tidak mau makan dan minum. Nadi 110x/menit, RR 30x/m, suhu 37C, pada pemeriksaan fisik didapatkan mata cowong, turgor kulit kembali dalam 2 detik. Apakah etiologi kasus pasien?","","Clostridium botulinum","Shigella disentri","Salmonella thyposa","Eschericia coli","Vibrio cholera","E"
"kedokteran","Ilmu Kesehatan Anak","Ilmu Kesehatan Anak","Dehidrasi Ringan Sedang","pmb","Anak perempuan usia 9 bulan datang dibawa ibunya dengan keluhan BAB cair sejak 1 hari yang lalu. BAB cair >10 kali, lendir dan darah disangkal. Anak tampak rewel namun masih mau menyusu. Anak tampak kehausan, mata cekung, turgor kulit kembali lambat, ubun-ubun besar tidak menonjol. Apakah terapi yang tepat diberikan kepada pasien?","","Cairan 75cc/kgBB selama 3 jam, zinc 20 mg, pantau dehidrasi","Cairan 75cc/kgBB selama 3 jam, beri antibiotik","Lanjutkan ASI, anak bawa pulang","Cairan 30cc/kgBB/jam, zinc 20 mg, pantau dehidrasi","Cairan 30cc/kgBB/jam, beri antibiotik","A"
"kedokteran","Ilmu Kesehatan Anak","Ilmu Kesehatan Anak","","pmb","Seorang anak berusia 3 tahun dibawa ibunya ke puskesmas karena sudah 3 hari mencret dan kini malas minum. Dari pemeriksaan ditemukan mata cowong, cubitan kulit kembali sangat lambat dan anak tidak mau minum. BAK terakhir 5 jam yang lalu dan sedikit. TD 90/50 mmHg, nadi 22x/menit, RR 25x/menit T 37,8 C. dokter telah mencoba memasang IV line tapi gagal sehingga akan segera merujuk anak ke RS. Amanajemen apa yang harus dilakukan selama merujuk anak ke RS?","","Diberikan air putih peroral","Diberikan air putih melalui NGT","Diberikan oralit 10-20 cc/kgBB/jam per oral","Diberikan oralit 20 cc/kgBB/jam melalui NGT","Diberikan oralit 30 cc/kgBB/jam melalui NGT","D"
