"Prodi","Topik Soal","Kategori Materi","Materi Soal","Tipe Soal","Soal","Deskripsi Soal","A","B","C","D","E","Jawaban"
"kedokteran","Psikiatri","Psikiatri","Agorafobia dengan gangguan panik","pmb","Seorang perempuan usia 21 tahun, merasa berdebar-debar dan sangat takut sampai terasa tercekik dan sesak di dada ketika berada dalam keramaian. Perasaan takut dan cemas tersebut sering kambuh saat pasien pergi ke pusat perbelanjaan yang ramai. Pasien merasa sangat ketakutan hingga membayangkan bahwa dirinya menjadi sangat kecil dan orang- orang disekitarnya menjadi sangat besar sehingga ia akan terinjak oleh orang-orang sekitar. Tidak didapatkan adanya waham dan halusinasi. Apa diagnosa pada pasien tersebut?","","Fobia sosial","Fobia spesifik","Agorafobia dengan gangguan panik","Agorafobia tanpa gangguan panik","Hipokondriasis","C"
"kedokteran","Psikiatri","Psikiatri","Fobia sosial","pmb","Seorang wanita usia 19 tahun pergi ke klinik psikiatri karena dia sering merasa cemas dan mengeluarkan banyak keringat. Keluhan tersebut selalu muncul terutama saat dia ditunjuk oleh dosennya untuk menjelaskan di depan kelas. Keluhan serupa juga munculsetiap sebelum presentasi, karna hal itu dia selalu meminta tolong temannya agar mengantikannya. Apakah diagnosis yang tepat untuk kasus diatas?","","Gangguan cemas menyeluruh","Fobia sosial","Panic attack","Gangguan kepribadian dependent","Gangguan cemas menghindar","B"
"kedokteran","Psikiatri","Psikiatri","Nightmare","pmb","Seorang wanita datang ke poliklinik karena sering terbangun di malam hari. Setiap bangun ia merasa napas begitu cepat dan banyak berkeringat. Ia merasa sangat ketakutan ketika bangun tidur karna dia merasa saat tidur ada sesosok yang selalu mengejarnya dalam mimpinya. Keluarga pasien juga mengatakan sering mendengar dia berteriak-teriak saat malam hari, namun tidak pernah merespon ketika dipanggil. Ketika tersadar pasien menceritakan mimpi yang baru saja dialaminya. Apakah diagnosis pasien tersebut?","","Hipersomnia","Insomnia","Somnabulisme","Night terror","Nightmare","E"
"kedokteran","Psikiatri","Psikiatri","Somnabulisme","pmb","Seorang perempuan usia 25 tahun datang ke poliklinik bersama suaminya. suami pasien khawatir karena setiap malam istrinya sering terbangun dan duduk terdiam di pinggiran ranjang kemudian tidur kembali. Pernah dicoba untuk ditegur saat duduk di pinggiran ranjang namun tidak memberikan respon dan saat ditanya paginya, pasien sama sekali tidak mengingat apa yang dia lakukan di malam hari. Apakah diagnosis pasien tersebut?","","Insomnia","Restless leg syndrome","Somnabulisme","Narkolepsi","Gangguan jadwal tidur jaga","C"
"kedokteran","Psikiatri","Psikiatri","Gangguan tingkah laku","pmb","Seorang anak laki-laki, usia 14 tahun dibawa oleh kedua orangtuanya ke poli jiwa karena sudah kesulitan menghadapi anaknya. Dilaporkan bahwa anaknya terlibat beberapa kali tawuran. Menurut orang tuanya, anaknya gampang marah dan sering mengancam orang lain yang tidak sejalan dengannya. Pasien juga pernah membunuh kucing kampung yang sering datang kerumah mereka gara-gara kucing tersebut menggangunya saat dia sedang makan. Perilaku ini sudah berlangsung semenjak 1,5 tahun lalu. Apakah diagnosis pasien tersebut?","","Gangguan menantang oposisional","Gangguan tingkah laku","Gangguan kepribadian disosial/anti sosial","Gangguan Psikopat","Gangguan perilaku sadism","B"
"kedokteran","Psikiatri","Psikiatri","","pmb","Seorang anak usia 7 tahun, datang dibawa ke IGD oleh ibunya dengan keluhan nyeri perut, lemas, mual dan tidak mau makan. Sejak kecil anak tersebut sering makan bedak wangi, ketika dilarang anak tersebut selalu mengamuk. Saat ditanya kenapa minum bedak, anak tersebut menjawab karena wangi. Apa gangguan pada anak ini ?","","Pica","Bulimia","Anoreksia nervosa","Gangguan tic","Gangguan makan sementara","A"
"kedokteran","Psikiatri","Psikiatri","Tourette syndrome","pmb","Seorang anak laki-laki usia 5 tahun, dibawa ke poliklinik oleh orang tuanya karena sering mengeluarkan suara-suara mengerutuk disertai hentakan pada kaki kirinya sejak 2 tahun terakhir. Orang tuanya sudah berusaha menegur anaknya agar tidak melakukan hal tersebut, tetapi anak mengaku bahwa ia tidak mampu mengendalikan gerakan tersebut. Ketika tidur gerakan tersebut menghilang. Apakah diagnosis pada pasien tersebut?","","Asperger syndrome","Sindrom rett","Tourette syndrome","Fragile x syndrome","Autisme","C"
"kedokteran","Psikiatri","Psikiatri","Psikoterapi CBT dan Fluoxetin","pmb","Seorang perempuan 18 tahun datang bersama ibunya dengan keluhan sering merasa gemuk dan ingin kurus. Namun pasien tidak bisa mengendalikan nafsu makanya. Pasien sering banyak pasien merasa lalu merasa bersalah bersalah dan segera minum obat pencahar. Karena hal ini pasien sering murung dan tidak bersemangat. Apa terapi yang tepat untuk kondisi yang dialami?","","Psikoterapi CBT dan Risperidon","Psikoterapi CBT dan Alprazolam","Psikoterapi CBT dan Fluoxetin","Psikoterapi CBT dan Carbamazepin","Psikoterapi CBT dan Amfetamin","C"
"kedokteran","Psikiatri","Psikiatri","Sublimasi","pmb","Seorang anak remaja lelaki berusia 16 tahun baru saja diputuskan oleh pacar. Pacarnya mengatakan bahwa hubungan mereka sudah tidak menarik jadi lebih baik diakhiri. Padahal pasien sangat menyayangi pacarnya. Kesedihan mendalam yang ia alami, dituliskan menjadi sebuah novel romantic. Novel tersebut viral di dunia maya dan diterbitkan oleh penerbit ternama. Apakah jenis mekanisme pertahanan ego yang dilakukan oleh adik laki-laki pasien tersebut?","","Identifikasi","Denial","Sublimasi","Supresi","Identifikasi Proyeksi","C"
"kedokteran","Psikiatri","Psikiatri","Siklotimik","pmb","Seorang perempuan usia 27 tahun datang ke praktik dokter karna dia merasa bahwa dirinya moody. Dia mengaku mudah tiba-tiba senang dengan hal-hal kecil tapi juga terkadang tiba tiba menjadi sedih sendiri hanya dengan hal-hal kecil. Hal ini tidak sampai mengganggu semua aktivitasnya termasuk pekerjaannya, hanya saja dia merasa kurang nyaman dengan kondisinya saat ini. Hal ini sudah dia rasakan sejak lama lebih dari dua tahun dan dia mengakui kondisinya tidak ada hubungannya dengan jadwal menstruasinya. Apakah diagnosa pada kasus diatas?","","Skizoafektif tipe mania","Siklotimik","Bipolar","Mania tanpa gejala psikotik","Mania dengan gejala psikotik","B"
