"Prodi","Topik Soal","Kategori Materi","Materi Soal","Tipe Soal","Soal","Deskripsi Soal","A","B","C","D","E","Jawaban"
"kedokteran","Kesehatan Masyarakat","Kesehatan Masyarakat","","pmb","Seorang ibu hamil ingin mendaftarkan BPJS untuk janin dalam kandungannya yang berusia 32 minggu. Ibu sudah memiliki BPJS lewat perusahaan swasta tempat ibu bekerja. Pernyataan yang benar mengenai pendaftaran BPJS janin dalam kandungan ibu tersebut adalah?","","BPJS langsung aktif secara otomatis ketika bayi lahir","Bayi baru bisa didaftarkan 3 bulan setelah dilahirkan","BPJS langsung aktif secara otomatis 1 bulan setelah bayi lahir","Bayi harus didaftarkan orang tua ke BPJS paling lambat 28 hari setelah lahir","BPJS janin dapat langsung didaftarkan dan segera aktif setelah lahir","D"
"kedokteran","Kesehatan Masyarakat","Kesehatan Masyarakat","","pmb","Seorang wanita berobat ke dokter umum dengan keluhan benjolan pada payudara. Dari hasil pemeriksaan didapatkan benjolan seukuran telur ayam pada payudara kanan, teraba keras, tidak nyeri, dan tidak bisa digerakkan. Dokter akhirnya merujuk ke dokter spesialis bedah untuk memastikan keganasan tumor tersebut. Prinsip dokter keluarga yang diterapkan oleh dokter adalah?","","Komprehensif","Holistik","Koordinatif","Kolaboratif","Berkesinambungan","D"
"kedokteran","Kesehatan Masyarakat","Kesehatan Masyarakat","","pmb","Dinas Kesehatan bersama BPJS Kesehatan di sebuah kota berencana melakukan pemerataan peserta BPJS di tiap FKTP karena banyak FKTP yang mengeluhkan peserta terdaftar terlalu sedikit. Berapakah rasio ideal dokter per peserta yang harus dipenuhi?","","1 : 10000","3.513888889","1.777777778","0.7361111111","1 : 30000","B"
"kedokteran","Kesehatan Masyarakat","Kesehatan Masyarakat","","pmb","Seorang dokter akan melakukan penelitian mengenai hubungan kejadian efek amenorrhea dengan penggunaan_ kontrasepsi hormonal injeksi medroxy-progesterone acetate terhadap pasien-pasiennya. Metode yang dilakukan adalah dengan retrospektif melihat catatan medis. Apakah uji yang dapat digunakan oleh dokter tersebut?","","Independent T-Test","One way ANOVA","Korelasi spearman","Korelasi pearson","Chi square","E"
"kedokteran","Kesehatan Masyarakat","Kesehatan Masyarakat","","pmb","Pemerintah Indonesia dan Kementrian Kesehatan menghimbau untuk menjaga diri dan keluarga dari penyakit Covid 19 dengan mencanangkan program GERMAS. Contoh tindakan yang termasuk dalam GERMAS pada pandemi Covid19 adalah","","Mengikuti rapid test massal covid19","Keluarga menjadi peserta JKN","Bayi mendapatkan imunisasi dasar lengkap","Tutup mulut/hidung saat batuk, bersin","Mengikuti Program KB","D"
"kedokteran","Kesehatan Masyarakat","Kesehatan Masyarakat","","pmb","Puskesmas induk di Kecamatan A hendak melakukan program UKS (Usaha Kesehatan Sekolah) berupa pemeriksaan kesehatan gigi, promosi kesehatan reproduksi remaja, dan kesehatan jiwa. Asas penyelenggaraan yang dilakukan Puskesmas induk tersebut adalah ?","","Asas Keterpaduan Lintas Program","Asas Keterpaduan Lintas Sektor","Asas Pertanggung Jawaban Wilayah","Asas Pemberdayaan Masyarakat","Asas Rujukan UKM","B"
"kedokteran","Kesehatan Masyarakat","Kesehatan Masyarakat","","pmb","Puskesmas mendatangi suatu pabrik perabotan dan melakukan analisis, ternyata di pabrik tersebut masih menggunakan alat yang sudah tua dan banyak kerusakan sehingga menimbulkan kebisingan sampai 80db. Puskesmas memberi saran supaya pabrik tersebut mengganti alat-alatnya dengan yang lebih modern dan tidak terlalu bising supaya para pekerja dapat bekerja dengan nyaman dan aman. Yang dilakukan puskesmas tersebut adalah?","","Eliminasi","Substitusi","Perancangan","Administrasi","APD","B"
"kedokteran","Kesehatan Masyarakat","Kesehatan Masyarakat","","pmb","Seorang peneliti ingin mengetahui penurunan tekanan darah setelah konsumsi jus seledri pada lansia dengan hipertensi. Peneliti mengambil 500 sampel lansia dengan hipertensi. Peneliti membagi 2 kelompok perlakuan, 250 sampel mengonsumsi jus seledri dan 250 sampel tidak mengonsumsi jus seledri. Setelah penelitian berlangsung didapatkan Kolmogorov Smirnoff = 0.09. Uji statistik apakah yang sesuai untuk penelitian tersebut ?","","Dependent t test","Independent t test","Wilcoxon","Chi square","Fisher exact test","B"
"kedokteran","Kesehatan Masyarakat","Kesehatan Masyarakat","","pmb","Seorang dokter ingin meneliti hubungan kejadian BBLR dengan beberapa faktor yang mepengaruhinya. Setelah dianalisa dengan odds ratio dengan confidence interval 95%, didapatkan hasil berikut.
- Anemia 1.9 (1.3-6.5)
- Pendidikan rendah 3.3 (2.3-8.4)
- Ekonomi rendah 2.1 (0.8-7.2)
Faktor apakah yang paling mempengaruhi kejadian BBLR?","","Anemia","Pendidikan Rendah","Ekonomi rendah","Anemia dan pendidikan rendah","Anemia dan ekonomi rendah","B"
"kedokteran","Kesehatan Masyarakat","Kesehatan Masyarakat","","pmb","Pasien datang ke IGD dengan keluhan nyeri abdomen kanan atas. Setelah dilakukan pemeriksaan fisik dan laboratorium, dokter curiga bahwa pasien menderita cholelithiasis. Kemudian dokter IGD tersebut merujuk pasien tersebut ke dokter spesialis bedah dan menyerahkan wewenang sepenuhnya kepada _ dokter spesialis bedah. Jenis rujukan yang sesuai adalah?","","Cross","Interval","Kolateral","Horisontal","Split","A"
"kedokteran","Kesehatan Masyarakat","Kesehatan Masyarakat","","pmb","Seorang dokter melakukan investigasi terhadap isidensi terjadinya penyakit demam tifoid di wilayah kerja puskesmasnya. Dari hasil investigasi ditemukan bahwa data insidens penyakit demam tifoid di puskesmas adalah 40-50 kasus per minggu dan minggu lalu ternyata didapatkan insidens demam tifoid adalah 48 kasus. Apakah pola kejadian penyakit yang sesuai dengan kasus tersebut?","","Endemik","Outbreak","Pandemik","Epidemik","Sporadik","A"
"kedokteran","Kesehatan Masyarakat","Kesehatan Masyarakat","","pmb","Faskes tingkat I ingin mengembangkan Program Pengelolaan Penyakit Kronis (Prolanis). Program berfokus pada pengelolaan penyakit Hipertensi dan DM Tipe 2. Alat ukur epidemiologi angka kejadian untuk mengukur keberhasilan program?","","Prevalensi","Insidensi","Angka Morbiditas","Angka Mortalitas","Angka Kesembuhan","C"
