"Prodi","Topik Soal","Kategori Materi","Materi Soal","Tipe Soal","Soal","Deskripsi Soal","A","B","C","D","E","Jawaban"
"kedokteran","Ilmu Kesehatan Mata","Ilmu Kesehatan Mata","Anisometropia","pmb","Seorang laki - laki usia 18 tahun datang dengan keluhan sering merasa pusing sejak 1 tahun terakhir. Visus OD 3/60 dikoreksi dengan S -4.50 menjadi 6/6, visus OS 6/7,5 dikoreksi dengan S -0,50 menjadi 6/6. Pemeriksaan segmen anterior dan funduskopi dalam batas normal. Apakah diagnosis pasien tersebut?","","Hipermetropia","Ambliopia","Emmetropia","Presbiopia","Anisometropia","E"
"kedokteran","Ilmu Kesehatan Mata","Ilmu Kesehatan Mata","Tipe Hipermetropia","pmb","Seorang perempuan berusia 15 tahun datang dengan keluhan pandangan kedua mata kabur ketika melihat jauh. Dari pemeriksaan visus didapatkan koreksi S+1.00 menjadi 6/6, dengan S+2.00 menjadi 6/6. Kemudian dilakukan pemeriksaan dengan menetesi obat sikloplegik lalu diperiksa visus kembali dengan S+2.50 menjadi 6/6. Disebut hipermetropia apa dengan koreksi S+2.00?","","Hipermetropia fakultatif","Hipermetropia laten","Hipermetropia absolut","Hipermetropia manifes","Hipermetropia total","D"
"kedokteran","Ilmu Kesehatan Mata","Ilmu Kesehatan Mata","Kelainan Refraksi","pmb","Anak usia 13 tahun dibawa ke dokter oleh ibunya karena sering memicingkan mata sejak 1 tahun ini terutama bila melihat jauh. Pemeriksaan visus OD 5/24, OS 5/30. Dilakukan koreksi kacamata dengan ukuran : OD S-2,5 C+1,5 aksis 90 🡪 6/6 OS S-1,0 C+1,5 aksis 180 🡪 6/6. Apakah diagnosis pasien ini?","","OD Astigmatisma miopia kompositus, OS Astigmatisma mixtus","OD Astigmatisma miopia kompositus, OS Astigmatisma hipermetropia kompositus","OD Astigmatisma hipermetropia kompositus, OS Astigmatisma miopia kompositus","OD Astigmatisma hipermetropia kompositus, OS Astigmatisma mixtus","ODS Astigmatisma mixtus","A"
"kedokteran","Ilmu Kesehatan Mata","Ilmu Kesehatan Mata","Klasifikasi MYOPIA","pmb","Pasien anak laki-laki berusia 10 tahun datang dengan pandangan kedua mata kabur saat melihat jauh. Dari pemeriksaan didapatkan hasil koreksi VODS S -3,00 🡪 6/6. Tidak didapatkan kelainan di segmen anterior dan funduskopi normal. Apakah diagnosis pasien tersebut?","","Miopia ringan","Miopia sedang","Miopia berat","Astigmatisme myopia simpleks","Ambliopia","B"
"kedokteran","Ilmu Kesehatan Mata","Ilmu Kesehatan Mata","LENSA BIFOKAL","pmb","Seorang wanita berusia 55 th datang dengan keluhan sulit untuk membaca jauh dan dekat. Hasil dari pemeriksaan snellen chart didapatkan VODS 6/30 dikoreksi dengan S -2,50 🡪6/6. Dari pemeriksaan Jaeger didapatkan koreksi S+2,50. Pada pemeriksaan segmen anterior normal dan tidak ditemukan kelaianan pada pemeriksaan funduskopi. Jenis lensa kacamata yang digunakan pada pasien adalah?","","Lensa Konkaf-Konvek","Lensa Konvek-Konkaf","Lensa Bikonvek","Lensa Bikonkaf","Lensa Bifokal","E"
"kedokteran","Ilmu Kesehatan Mata","Ilmu Kesehatan Mata","Istilah-Istilah Refraksi","pmb","Seorang anak perempuan berusia 12 tahun datang ke Puskesmas dengan keluhan kedua mata kabur ketika melihat jauh. Setelah dilakukan pemeriksaan visus didapatkan VODS 6/60. Setelah dikoreksi VOD S-2,00 menjadi 6/6 dan VOS S+2,00 menjadi 6/6. Diagnosis yang tepat untuk kasus tersebut adalah?","","Anisometropia","Antimetropia","Myopia","Hipermetropia","Ambliopia","B"
"kedokteran","Ilmu Kesehatan Mata","Ilmu Kesehatan Mata","Hipermetropia, koreksi dgn S(+) terbesar","pmb","Seorang wanita 16 tahun mengeluh matanya mulai kabur ketika melihat dekat. Pada pemeriksaan visus didapatkan VOD 1/60, uji pinhole 6/6. VOS 1/60, uji pinhole 6/6. Kemudian dilakukan koreksi sebagai berikut: Resep kacamata untuk pasien tersebut adalah?","","OD S+1,00 OS +0,75","OD S+1,25 OS +1,00","OD S+1,00 OS +1,00","OD S+1,25 OS +0,75","OD S+1,00 OS +1,00","B"
"kedokteran","Ilmu Kesehatan Mata","Ilmu Kesehatan Mata","Presbiopia (4a)","pmb","Seorang Laki-laki berusia 55 tahun datang dengan keluhan pandangan kabur melihat jauh dan dekat. Dari pemeriksaan didapatkan visus ODS dengan koreksi S+2,50 menjadi 6/6. Resep kaca mata yang diberikan pada pasien adalah?","","ODS S-2,50","ODS S+2,50","ODS netral (plano) dengan addisi +2,50","ODS S-2,50 dengan addisi +2,50","ODS S+2,50 dengan addisi +2,50","E"
"kedokteran","Ilmu Kesehatan Mata","Ilmu Kesehatan Mata","kacamata intermediet","pmb","Seorang laki-laki berusia 65 tahun bekerja sebagai penjahit mengeluhkan pandangan kedua mata kabur saat melihat jauh dan dekat. Dari pemeriksaan visus didapatkan visus ODS 5/9 dengan koreksi S-0,50 menjadi 6/6 dan dengan menggunakan kartu jaeger nyaman membaca dengan jarak 30 cm dengan ukuran +3,00. Berapakah ukuran yang diperlukan pasien jika dia ingin nyaman menjahit pada jarak 40 cm?","","#ERROR!","#ERROR!","#ERROR!","2","#ERROR!","D"
"kedokteran","Ilmu Kesehatan Mata","Ilmu Kesehatan Mata","Pediatric Visual Acuity Examination","pmb","Anak laki-laki usia 3 tahun diantar ibunya dikeluhkan menonton TV dengan jarak yang sangat dekat sambil memicingkan mata. Pemeriksaan tajam penglihatan yg dilakukan?","","Lambaian tangan","Senter","Oftalmoskop","Kartu jeager","Kartu cincin landof","E"
