"Prodi","Topik Soal","Kategori Materi","Materi Soal","Tipe Soal","Soal","Deskripsi Soal","A","B","C","D","E","Jawaban"
"kedokteran","Neurology","Neurology","","pmb","Wanita keluhan nyeri disertai kebas kesemutan sejak 2 minggu yg lalu pada jari ke 2 sampai jari ke 4 tangan kanan. Pekerjaan cuci piring. Tinel (+) phallen (+) Pemeriksaan penunjang yang tepat","","Elektromiografi","Rontgen medianus bilateral","X-ray cervical","USG doppler","ankle-brakhial index","A"
"kedokteran","Neurology","Neurology","","pmb","Laki-laki 30 tahun mengalami kecelakaan lalu lintas 15 menit yang lalu, ada luka terbuka di daerah frontal, tekanan darah 130/80, nadi 110x/menit. Terdapat tanda tekanan tinggi intracranial. Sebagai dokter IGD anda akan memberikan tatalaksana apa untuk mengurangi TTIK?","","Dextrose 5%","Manitol 20%","Gliserin","Dextrose 10%","manitol 10%","B"
"kedokteran","Neurology","Neurology","","pmb","Seorang wanita datang dengan keluhan pusing kepala berputar hebat sejak 1 hari yang lalu. Keluhan dirasakan terutama saat pasien menggerakkan kepalanya secara cepat dan saat bangun dari tidur. Keluhan dirasakaan hanya beberapa menit dan menghilang setelahnya. Pemeriksaan fisik dan ttv dalam batas normal. Pemeriksaan kalori : nystagmus horizontal. Apa diagnosis pasien tersebut?","","BPPV","Meniere disease","Labirinitis","Gangguan vertebrobasiler","Neuritis vestibularis","A"
"kedokteran","Neurology","Neurology","","pmb","Tn KK, berusia 30 tahun datang ke Puskesmas Cimahi Utara dengan keluhan nyeri kepala berdenyut sebelah kanan. Keluhan dirasakan semakin memberat saat stress, beraktivitas dan mereda dengan istirahat. Pasien gemar makan keju dan coklat. Pada pemeriksaan hemodinamik stabil dan tidak ditemukan kelainan neurologis. Apa terapi non farmakologi yang paling sesuai untuk pencegahan keluhan pasien tersebut?","","Mengurangi konsumsi keju dan coklat","Hindari pencetus","Istirahat","Pola hidup bersih dan sehat","Olahraga teratur","B"
"kedokteran","Neurology","Neurology","","pmb","Ny, G berusia 30 tahun dibawa oleh keluarganya ke IGD RS Meshwork dengan penurunan kesadaran sejak 1 hari yang lalu. Satu minggu yang lalu pasien mengeluhkan nyeri kepala disertai demam. KU: Somnolen, TD 120/80 mmHg, nadi 72x/ menit, laju napas 20x/ menit, dan suhu 38,9 C. Status neurologis didapatkan kaku kuduk dan hemiparesis kanan. Riwayat keluar cairan dari telinga sejak 6 bulan yang lalu. Apakah terapi antibiotik yang tepat pada pasien ini?","","Ampisilin","Tetrasiklin","Doksisiklin","Levofloxacin","Ceftriaxone","E"
"kedokteran","Neurology","Neurology","","pmb","Laki-laki 35 thn diantar istri nya ke dokter keluarga dengan keluhan gangguan berbahasa. Keluhan disertai gampang lupa, gangguan perilaku dan suasana hati. Pasien jg mengeluhkan pendengaran telinga kiri berkurang. Pemfis dan neurologis dbn. Dimana letak lesi?","","Batang otak","Lobus parietal","Lobus temporal","Lobus frontal","Cerebellum","C"
"kedokteran","Neurology","Neurology","","pmb","Tn J berusia 40 tahun datang ke poliklinik RS dengan keluhan nyeri kepala sebelah kiri yang dirasakan setiap hari selama 2 minggu. Keluhan dirasakan hingga 8x sehari dan masing – masing durasinya 20 menit. Nyeri kepala terlokalisir didaerah periorbital disertai mata kiri merah dan banyak mengeluarkan air mata dan rhinorrhea. Pasien pernah mengalami keluhan yang sama 2 tahun lalu selama 3 minggu. Terapi profilaksis yang tepat untuk kasus ini adalah...","","Alopurinol","Verapamil","Sumatriptan","Paracetamol","Kolkisin","B"
"kedokteran","Neurology","Neurology","","pmb","Laki-laki usia 60 tahun datang dengan keluhan pusing berputar hingga sering terjatuh saat berjalan, penurunan pendengaran, telinga berdenging. Pemeriksaan Romberg test (-) Dari pemeriksaan CT scan terdapat tumor pada otak. Dimanakah kemungkinan letak tumor?","","Batang otak","Lobus parietal","Lobus oksipital","Cerebelum","Lobus temporal","D"
"kedokteran","Neurology","Neurology","","pmb","Seorang laki-laki usia 28 tahun datang dengan keluhan nyeri pinggang kanan yang menjalar ke pangkal paha. nyeri diperberat saat batuk dan berjalan. lasseque test (+). apa terapi yang tepat","","Prednison","Kalium diklofenak","Paracetamol","Epherison","Pregabalin","E"
"kedokteran","Neurology","Neurology","","pmb","Seorang bayi usia 5 hari datang dengan keluhan kejang. tali pusat berbau. keluhan disertai kekakuan rahang, mulut mencucu, opistotonus (+). Diagnosis yang tepat?","","Sepsis neonatorum","Tetanus neonatorum","Meningitis","Epilepsi","Kejang demam","B"
"kedokteran","Neurology","Neurology","","pmb","Tn U berusia 55 tahun datang ke poliklinik dengan kelemahan pada tungkai bawah disertai demam sejak 2 bulan yang lalu. Tungkai juga sering dirasakan seperti kesemutan. Pada pemeriksaan fisik didapatkan tekanan darah 120/80 mmHg, denyut nadi 80x/menit, RR 20x/menit, suhu 37,0C. Ditemukan gibus setinggi vertebra torakal X. Hipestesi dari umbilikus ke bawah. Refleks fisiologis meningkat, terdapat refleks babinsky. Tatalaksana yang tepat adalah","","Metilprednisolon","Metilkobalamin","OAT + prednison","OAT + citicoline","OAT + metilkobalamin","C"
"kedokteran","Neurology","Neurology","","pmb","Laki laki dengan keluhan nyeri pada tangan kiri yang menjalar, pekerjaan sering mengetik selama 6 jam, pasien sering mengipas-ngipaskan tangannya untuk mengurangi gejala. Penatalaksanaan awal?","","Pembalutan pergelangan tangan","Operasi","Pemberian kortikosteroid oral","Kortikosteroid injeksi","NSAID","A"
"kedokteran","Neurology","Neurology","","pmb","Seorang perempuan datang dengan keluhan sulit menggenggam benda-benda. Pekerjaan pasien adalah seorang penjahit. Tiap kali pasien mencoba memegang hpnya selalu terlepas dan terjatuh. Test finkelstein (+). Diagnosis yang tepat?","","Tenosynovitis","Tendinitis de Quarvain","Carpal Tunnel Syndrome","Guyon Tunnel Syndrome","Lesi nervus radius","B"
"kedokteran","Neurology","Neurology","","pmb","Perempuan, usia 2 tahun datang ke IGD dengan kejang 1 jam yang lalu, tanpa demam. Riwayat kejang (+). Menurut dokter sp.A pasien merupakan pasien epilepsi. Pemeriksaan penunjang untuk pasien ini?","","Ct -scan","MRI","Rontgen Kepala","EEG","Lumbal pungsi","D"
"kedokteran","Neurology","Neurology","","pmb","Seorang laki-laki 40 tahun datang ke RS dibawa oleh temannya karena kejang 30 menit yang lalu. Saat sampai UGD pasien masih kejang. Mata mendelik ke atas, leher menoleh ke kanan, lidah tergigit, mulut berbusa. Kejang ditangan dan kaki tersentak-sentak. Teman pasien tidak mengetahui keadaan pasien sebelum kejang. Tidak ada riwayat kejang. Pada PF umum dan neurologi dbn. Tipe kejang pada pasien ini adalah?","","Parsial Sederhana","Parsial Kompleks","Parsial Kompleks Generalize","Generalize Klonik","Generalize Mioklonik","D"
"kedokteran","Neurology","Neurology","","pmb","Laki-laki berusia 40 tahun datang ke dokter dengan keluhan mata juling sudah satu minggu yang lalu. Kesulitan menelan dan berulang setelah aktivitas dan memburuk saat istirahat. Tes waterberg (+). Diagnosis pasien ini adalah?","","Stroke hemoragik","Guillen Barre Sindrom","Myastenia Gravis","Stroke non hemoragik","Distrofi Muskular","C"
"kedokteran","Neurology","Neurology","","pmb","Pasien 30 tahun mengeluhkan sudut mulut kiri jatuh, kelopak mata sulit ditutup dan alis sulit diangkat sejak 2 hari yang lalu. Riwayat trauma disangkal. Tidak ditemukan kelemahan ekstremitas. Pemeriksaan neurologis didapatkan paresis nervus VII perifer. Kemungkinan diagnosis adalah?","","Stroke hemorragik","Stroke iskemik","Bell’s palsy","Cerebral palsy","Neuralgia trigeminal","C"
"kedokteran","Neurology","Neurology","","pmb","Laki laki 45 tahun keluhan kelemahan anggota gerak kiri setelah bangun pagi sulit digerakkan. Pasien juga sulit berbicara sehingga tidak bisa meminta tolong. Empat jam kemudian, pasien mulai bisa menggerakkan anggota gerak tersebut. Riwayat HT (+). TD 150/100, HR 90 x/menit, RR 20 x/menit. Pemeriksaan neurologis dbn. Apakah diagnosa yang mungkin?","","Stroke iskemik","Stroke hemorrhagic","Transient Ischemic Attack","Reversible Iskemik Deficit Neurologis","Prolonged Reversible Iskemik Deficit Neurologis","C"
"kedokteran","Neurology","Neurology","","pmb","Seorang istri mengantar suami ke IGD dengan nyeri kepala sangat hebat yang tidak tertahankan. Pasien mengeluh sakit kepala hebat dan muntah. TTV: tekanan Darah 170/90 mmHg, kaku kuduk (+), kelemahan anggota gerak (-) pada pemeriksaan neurologis lainnya tidak ditemukan kelainan. Diagnosis yang tepat untuk pasien ini adalah...","","Perdarahan intraserebri","Perdarahan intraventrikel","Stroke iskemik e.c trombotik","Perdarahan subarachnoid","Stroke iskemik e.c emboli","D"
