"Prodi","Topik Soal","Kategori Materi","Materi Soal","Tipe Soal","Soal","Deskripsi Soal","A","B","C","D","E","Jawaban"
"kedokteran","Penyakit Dalam","ENDOKRIN - NEFRO","Krisis tiroid","pmb","Seorang pria usia 40 tahun dibawa keluarga ke IGD dengan keluhan mengigau disertai dengan demam tinggi. Riwayat pasien sering mengeluh berdebar-debar dan tangan gemetaran yang dialami sejak 3 bulan yang lalu. Keluhan disertai BAB cair 2- 3kali/hari, kadang membaik dan susah tidur. Dari pemeriksaan fisik didapatkan tekanan darah 150/90 mmHg, nadi 110x/menit, RR 24x/menit dan suhu 39 derajat celsius. Pada leher tampak benjolan depan leher, mobile, kenyal, eksoftalmus (+). Tatalaksana yang tepat untuk pasien ini adalah..","","O2, rehidrasi cairan, PTU loading dose 300 mg, propanolol 40 mg, paracetamol 1","O2, rehidrasi, PTU loading dose 600 mg, propanolol 40 mg, paracetamol 1 gr","O2, rehidrasi, metimazole loading dose 20 mg, paracetamol 1 g","O2, rehidrasi cairan, PTU 200 mg tiap 4 jam, propanolol 40 mg","O2, rehidrasi cairan, PTU loading dose 300 mg, paracetamol 1 gr","B"
"kedokteran","Penyakit Dalam","ENDOKRIN - NEFRO","Fenofibrat: mengaktifkan enzim lipoprotein lipase","pmb","Seorang laki-laki usia 57 tahun penyandang DM, datang ke poliklinik untuk kontrol rutin. Dari hasil pemeriksaan profil lipid didapatkan kolestrol total 200 mg/dl, kolestrol HDL 35 mg/dl, kolestrol LDL 112 mg/dl. Trigliserida 515 mg/dl. Dokter kemudian memberikan terapi fenofibrat. Bagaimanakah mekanisme kerja obat di atas?","","Menghambat secara kompetitif kerja dari enzim HMG-CoA reduktase","Mengaktifkan enzim lipoprotein lipase","Menghambat enzim hormon sensitive lipase","Menghambat absorbsi kolestrol oleh usus halus","Menghambat resirkulasi enterohepatik asam empedu","B"
"kedokteran","Penyakit Dalam","ENDOKRIN - NEFRO","DM gestasional","pmb","Seorang ibu berusia 28 tahun datang ke poli kandungan di rumah sakit untuk mengontrol kehamilannya. Diketahui ibu saat ini mengandung anak pertamanya dengan usia kehamilan 28 minggu. Riwayat tekanan darah tinggi dan kencing manis sebelumnya disangkal. Dari pemeriksaan fisik didapatkan tanda vital tekanan darah 110/70 mmHg, denyut nadi 88x/menit, frekuensi pernafasan 20x/menit dan suhu 36,3 C. Pada pemeriksaan lab didapatkan Hb 14,7 g/dl, protein negative, GDP 98 mg/dl paska TTGO 2 jam 190. apakah tatalaksan selanjutnya yang dilakukan pada pasien tersebut ?","","Pemberian asam folat","Pemberian insulin","Pemberian metformin","Mulai dengan gaya hidup sehat terlebih dahulu","Melakukan pemeriksaan HbA1C","B"
"kedokteran","Penyakit Dalam","ENDOKRIN - NEFRO","Krisis tiroid","pmb","Seorang perempuan berusia 30 tahun diantar keluarganya ke UGD RS dengan penurunan kesadaran. Riwayat diare 3 hari yang lalu. Keluhan disertai demam, berdebar-debar, dan gemetaran. Keluhan ini dirasakan selama 6 bulan. Pemeriksaan fisik didapatkan tekanan darah 190/100 mmHg, nadi 140x/menit irreguler, suhu 38.9 C. Pasien tampak eksoftalmus dan turgor kulit menurun. Apakah diagnosa yang paling tepat","","Krisis tiroid","Hipertiroid","Goiter multinodular toksik","Tirotoksikosis","Tiroiditis hashimoto","A"
"kedokteran","Penyakit Dalam","ENDOKRIN - NEFRO","Glimepiride > hipoglikemia","pmb","Seorang laki-laki usia 46 tahun kontrol ke poliklinik. Pasien diketahui mempunyai riwayat DM tipe 2 sejak 3 tahun yang lalu dan rutin mengkonsumsi metformin 500 mg 3 kali sehari. Hasil pemeriksaan HbA1c 8,5% dan GDP 202mg/dl. Selanjutnya dokter menambahkan 1 macam obat. Dua hari setelah minum obat tersebut pasien mengeluh sering lemas, berkeringat banyak, dan berdebar debar. Apakah obat tambahan yang diberikan dokter tersebut ?","","Acarbose","Pioglitazone","Glimepiride","Dapaglifozine","Biguanid","C"
"kedokteran","Penyakit Dalam","ENDOKRIN - NEFRO","Hashimoto thyroiditis","pmb","Seorang wanita usia 40 tahun datang ke dokter dengan keluhan benjolan pada lehernya sejak 3 bulan yang lalu. Benjolan dirasakan tidak nyeri. Saat pemeriksaan ditemukan benjolan diffuse, ikut bergerak saat menelan. Kemudian dilakukan biopsi pada benjolan dan didapatkan germinal center, tampak sel hurthle dan beberapa folikel atrofi. Diagnosa yang tepat pada pasien adalah?","","Hashimoto thyroiditis","De quervain thyroiditis","Graves disease","Subacute lymphocytic thyroiditis","Granulomatous Thyroiditis","A"
"kedokteran","Penyakit Dalam","ENDOKRIN - NEFRO","AKROMEGALI e.c hiper GH dan IGF-1","pmb","Seorang perempuan berusia 32 tahun datang ke puskesmas dengan keluhan nyeri kepala sejak 3 bulan terakhir. Keluhan lain berupa berat badan bertambah, bentuk wajah berubah dan tidak datang bulan. Pada pemeriksaan fisik didapatkan rahang bawah membesar dan menonjol. Tekanan darah 120/70 mmHg, nadi 82x/menit, suhu badan 36,8 C pernafasan 24x/menit. Tinggi badan 165 cm, berat badan 60 kg. Pemeriksaan laboratorium Hb 14,8 mg/dl, leukosit 8600/ml, trombosit 425.000 BUN 20 mg/dl, kreatinin 0.9 mg/dl, gula darah acak 105 mg/dl. Apakah parameter keberhasilan terapi pada kasus diatas","","GH > 2,5 ng/ml","GH < 2,5 ng/ml","IGF-1 meningkat","IGF-1 menurun","GH after OGTT >1 ng/ml","B"
"kedokteran","Penyakit Dalam","ENDOKRIN - NEFRO","Pemberian cairan (KAD)","pmb","Perempuan 51 tahun datang diantar keluarganya ke IGD dengan keluhan penurunan kesadaran sejak 3 jam yang lalu. Pasien merasa lemas dan terdapat sesak dipengaruhi aktivitas. Pasien mengalami DM sejak 3 tahun yang lalu. Didapatkan luka pada kelingking pus (+), eritema (+), menghitam pada pinggiran luka. Pada pemeriksaan didapatkan TD 100/80 mmHg, HR 142x/m, RR 34x/m. Pada pemeriksaan laboratorium didapatkan GDS 442 mg/dl. Apakah tatalaksana awal yang tepat yang akan diberikan pada pasien tersebut ?","","Debridement kelingking dan diberi antibiotik","Pemberian insulin","Pemberian dextrose","Pemberian cairan","Pemberian magnesium","D"
"kedokteran","Penyakit Dalam","ENDOKRIN - NEFRO","Toleransi Glukosa Terganggu","pmb","Seorang laki laki, 50 tahun, datang ke tempat praktek dokter untuk melakukan medical checkup. Pasien mengaku saat ini tidak merasakan keluhan apapun. Dari hasil pemeriksaan fisik didapatkan TD 110/80, HR 86x/menit, RR 18x/menit, Tax 36.5. Dari hasil pemeriksaan laboratorium didapatkan GDS 180, GDP 98, TTGO 179. Diagnosa yang paling tepat untuk pasien adalah...","","Tidak ada kelainan","DM tipe 2","TGT","GDPT","Prediabetes","C"
"kedokteran","Penyakit Dalam","ENDOKRIN - NEFRO","","pmb","Ny tifa usia 40 tahun datang ke poli klinik interna untuk melakukan medical check up. Saat ini pasien tidak ada keluhan apapun. Riwayat ibu pasien menderita DM dan jantung. Pada pemeriksaan fisik tanda vital didapatkan TD130/90 mmHg, HR 80x/menit, RR 20x/menit, suhu 37 C. Pemeriksaan fisik tidak ditemukan kelainan. Pada pemeriksaan laboratorium didapatkan GDS 120 mg/dl, GDP 122 mg/dl. Setelah dilakukan TTGO didapatkan hasil GD2pp 195 mg/dl. Diagnosa yang tepat pada pasien adalah","","Tidak ada kelainan","DM tipe 2","Toleransi glukosa terganggu","Gula darah puasa terganggu","Prediabetes","E"
